"creative","uid"
"HOUSE/AR02 HILL MY DAD","0Gm4ikXIiVY"
"HOUSE/AR02 HILL PASTOR TOM MITCHELL","-ZE7ALCwN2c"
"HOUSE/AR02 HILL REAL CHOICE","tyBtWPPYhIw"
"HOUSE/AR02 HILL TONY","NoMatch"
"HOUSE/AR04 DCCC&WITT BIPARTISAN","ciqxLp02uCI"
"HOUSE/AR04 NRCC&WESTERMAN PROVEN CONSERVATIVE","NoMatch"
"HOUSE/AR04 WESTERMAN THE VALUES","v2HfIC-Ce-s"
"HOUSE/AR04 WITT BRAD WEAR","GL0Ymr-Lohg"
"HOUSE/AR04 WITT LED THE RESPONSE","6ng8ttq5HqY"
"HOUSE/AR04 WITT WASHINGTON IS BROKEN","sg_MfJtE9Ao"
"HOUSE/AZ01 DCCC&KIRKPATRICK LIZ ARCHULETA","NoMatch"
"HOUSE/AZ01 KIRKPATRICK AT 18","5mOVM92jiF8"
"HOUSE/AZ01 KIRKPATRICK MARY KORTSEN","NoMatch"
"HOUSE/AZ01 KIRKPATRICK NEVER FORGET","NoMatch"
"HOUSE/AZ01 KIRKPATRICK NEWSPAPERS AGREE","aeS05avHDs0"
"HOUSE/AZ01 KIRKPATRICK THESE BOOTS","cY6nT_ChSMI"
"HOUSE/AZ01 TOBIN&NRCC OUTRAGEOUS","izTPOq8klxE"
"HOUSE/AZ01 TOBIN PLAY GAMES IN WASHINGTON","5M4UXObrTDk"
"HOUSE/AZ02 BARBER BEHIND THE GIMMICKS","oh2OOX8qEp0"
"HOUSE/AZ02 BARBER GEOFF OLDFATHER","dumZiFQRcqY"
"HOUSE/AZ02 BARBER KRIS SCHAEFER ROGERS","FVkP2g4TgSw"
"HOUSE/AZ02 BARBER NICOLE","MwOlloLgDG0"
"HOUSE/AZ02 BARBER PLENTY OF BLAME TO GO AROUND","d0AxbxHdeQ8"
"HOUSE/AZ02 BARBER REAL INDEPENDENT VOICE","NoMatch"
"HOUSE/AZ02 BARBER RISING COLLEGE TUITION COSTS","0OD90PfCLJU"
"HOUSE/AZ02 BARBER ROBERT GILBERT","ymD6oQ9PeYQ"
"HOUSE/AZ02 BARBER SIMPLY NOT TRUE","oqn-If0W65k"
"HOUSE/AZ02 BARBER SOME PEOPLE SAY","xKTPn3I2joI"
"HOUSE/AZ02 DCCC&BARBER HOPE REED","NoMatch"
"HOUSE/AZ02 MCSALLY ATTACK ADS","3oHi9-Q5I2c"
"HOUSE/AZ02 MCSALLY DANGEROUS WORLD","QHZavn2zXjs"
"HOUSE/AZ02 MCSALLY NOW I'M VOTING","fR09gQCG1kg"
"HOUSE/AZ02 MCSALLY RON BARBER'S AD GUY","UHogy3deKTg"
"HOUSE/AZ02 MCSALLY RON BARBER AND HIS ALLIES","t2Gevo23rhg"
"HOUSE/AZ02 MCSALLY TRUSTED","NoMatch"
"HOUSE/AZ02 MCSALLY WASHINGTON IS BROKEN","v5pcC-a1j8g"
"HOUSE/AZ02 MCSALLY WE'RE LOSING","hGnFfHjM9wE"
"HOUSE/AZ09 ROGERS SERVED","WYROWlwLASk"
"HOUSE/AZ09 ROGERS TERRORIST THREATS","_DF8VKLTSHQ"
"HOUSE/AZ09 SINEMA ALL VOTING","me83ufLN2nM"
"HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS","NoMatch"
"HOUSE/AZ09 SINEMA HOWARD AND JEAN SOMERS 60","-9WydeJNLHU"
"HOUSE/AZ09 SINEMA NEITHER PARTY","q-txGzhzDIo"
"HOUSE/AZ09 SINEMA PAID INTO IT","yNHR01lVy_g"
"HOUSE/AZ09 SINEMA WOMEN","e0fBBFsNXZs"
"HOUSE/CA03 GARAMENDI BAY BRIDGE","NoMatch"
"HOUSE/CA06 MATSUI HONORED","MxXdlZi44Ko"
"HOUSE/CA07 BERA A PROMISE MADE IS A PROMISE KEPT","ET5yaHp8PyQ"
"HOUSE/CA07 BERA ENSURING","SGqTkvHSDr0"
"HOUSE/CA07 BERA IN CONGRESS FOR THE RIGHT REASONS","K1mTmR-5vSo"
"HOUSE/CA07 BERA SWORE AN OATH","iax8sC2Q0W0"
"HOUSE/CA07 OSE 17 TRILLION OF DEBT","NoMatch"
"HOUSE/CA07 OSE DISHONEST CAMPAIGN","NoMatch"
"HOUSE/CA07 OSE INDEPENDENT LEADER","tO1R7EmpWhU"
"HOUSE/CA07 OSE MISLEADING","NoMatch"
"HOUSE/CA09 MCNERNY CONSEQUENCES","r8AC2FrDwyM"
"HOUSE/CA10 EGGMAN AROUND HERE","NoChannel"
"HOUSE/CA10 EGGMAN BRAGGED 15","NoChannel"
"HOUSE/CA10 EGGMAN FARMER 15","NoChannel"
"HOUSE/CA16 COSTA BROKEN WATER SYSTEM","NoChannel"
"HOUSE/CA16 COSTA FIGHTS FOR OUR VALUES","NoChannel"
"HOUSE/CA17 HONDA BILLIONAIRES","TcBaIiK8je4"
"HOUSE/CA20 FARR MAKE A DIFFERENCE 60","1VWfl5v-O54"
"HOUSE/CA21 DCCC&RENTERIA FALLING IN THE POLLS","zACyEPJoXpk"
"HOUSE/CA21 NRCC&VALADAO GREG MORENO","NoChannel"
"HOUSE/CA21 RENTERIA BORN AND RAISED","qK5KdM0Uj-Q"
"HOUSE/CA21 RENTERIA FRESNO BEE","-3joGJXFu7Y"
"HOUSE/CA21 VALADAO GREG MORENO","NoChannel"
"HOUSE/CA21 VALADAO HELP US","NoChannel"
"HOUSE/CA21 VALADAO SON OF IMMIGRANTS","NoChannel"
"HOUSE/CA21 VALADAO WASHINGTON INSIDER","NoChannel"
"HOUSE/CA21 VALADAO WATER","NoChannel"
"HOUSE/CA22 NUNES WATER IS LIFE","NoChannel"
"HOUSE/CA22 NUNES WATER RALLY","NoChannel"
"HOUSE/CA23 MCCARTHY CAROL FEIL","5Szo610AbVU"
"HOUSE/CA23 MCCARTHY DARRELL FEIL","6ji9YpSHzVs"
"HOUSE/CA23 MCCARTHY LAARY STARRH","N-EFnX6TS0k"
"HOUSE/CA23 MCCARTHY LEON THOMAS","3VDBxMNv3A4"
"HOUSE/CA23 MCCARTHY SERVE YOU","yOVu-aG5llI"
"HOUSE/CA24 CAPPS ENDORSED","NoMatch"
"HOUSE/CA24 CAPPS MITCHUMS TEA PARTY AGENDA","NoMatch"
"HOUSE/CA24 CAPPS WHAT DO YOU KNOW","NoMatch"
"HOUSE/CA24 CAPPS WHO WILL CHRIS MITCHUM REPRESENT","NoMatch"
"HOUSE/CA24 MITCHUM DEBT AND A SHAKY ECONOMY","lgNqgi2UpHk"
"HOUSE/CA24 MITCHUM INDEPENDENT LEADER","-bWYDzpIz6g"
"HOUSE/CA24 MITCHUM NEW KIND OF LEADER","vNR9MbxEf7o"
"HOUSE/CA26 BROWNLEY GORELL DIDN'T SUPPORT WOMEN","NoMatch"
"HOUSE/CA26 BROWNLEY SACRAMENTO POLITICIAN","NoMatch"
"HOUSE/CA26 BROWNLEY STRONGEST","fgqN1tqrCJU"
"HOUSE/CA26 DCCC&BROWNLEY UNSPEAKABLE","NoMatch"
"HOUSE/CA26 DCCC&BROWNLEY UNSPEAKABLE REV","NoMatch"
"HOUSE/CA33 CARR TERESA KENNARD","g3B5Qdhe9NI"
"HOUSE/CA33 LIEU PERFECT RATING","ILO9vIvpsJg"
"HOUSE/CA33 LIEU SON OF HARD WORKING IMMIGRANT PARENTS","0zz2Fk08d5U"
"HOUSE/CA36 NESTANDE SHAME ON YOU","xxbeOTPPbBo"
"HOUSE/CA36 NESTANDE SUFFERING","nHX4zfE7H0o"
"HOUSE/CA36 NESTANDE THE CHOICE IS CLEAR","PXdbxCT1nfk"
"HOUSE/CA36 RUIZ ANDREW WALKER","KHm7Pj4HWCg"
"HOUSE/CA36 RUIZ ER DOCTOR","IrgxqhzVSec"
"HOUSE/CA36 RUIZ GROWING UP","bFKis9jmKvA"
"HOUSE/CA36 RUIZ HERBERT JACKSON","WvBfEk-uuWw"
"HOUSE/CA36 RUIZ JERRY MOYNIHAN","NoMatch"
"HOUSE/CA36 RUIZ THANKS TO MEDICARE","3yTg4LDjaZA"
"HOUSE/CA36 RUIZ THE GOOD LIFE","ILYG3qLolJg"
"HOUSE/CA36 RUIZ THIS CAR","NoMatch"
"HOUSE/CA52 DCCC&PETERS ACTIONS SPEAK LOUDER THAN WORDS","9bAuOfdhUX4"
"HOUSE/CA52 DEMAIO FIX A BROKEN CONGRESS","5NpF2xJpvro"
"HOUSE/CA52 DEMAIO KNOW THIS MAN","NoMatch"
"HOUSE/CA52 DEMAIO PROUD GAY AMERICAN","qx8LmBtSoHc"
"HOUSE/CA52 DEMAIO SCOTT PETERS IS LYING","cWu-Tk52aBg"
"HOUSE/CA52 DEMAIO THE MISSION","NoMatch"
"HOUSE/CA52 DEMAIO UNWAVERING PRINCIPLES","yx8hujWmltg"
"HOUSE/CA52 PETERS BUDGET","PSaKi6HqLqE"
"HOUSE/CA52 PETERS DEMAIO HIDING SOMETHING","smRIEZldOG4"
"HOUSE/CA52 PETERS MICHAEL RENSTROM","oBwuefz-vE4"
"HOUSE/CA52 PETERS OFF TO SCHOOL","YisGeUbvQL4"
"HOUSE/CA52 PETERS RIGHT THING","wTOeMRIiIPo"
"HOUSE/CA52 PETERS SMEAR CAMPAIGN","NoMatch"
"HOUSE/CO03 TIPTON RECKLESS SPENDING","s7Mov1-1RfU"
"HOUSE/CO05 HALTER 32 YEARS IN THE AIRFORCE","g1sSt5WPTng"
"HOUSE/CO05 HALTER AWOL","CMBNBVDMwtk"
"HOUSE/CO05 HALTER SPENDS OUR MONEY","w_ZagLBY_ws"
"HOUSE/CO06 COFFMAN DENVER POST","NoMatch"
"HOUSE/CO06 COFFMAN DISTURBING REPORTS","FFTEcxlosY4"
"HOUSE/CO06 COFFMAN EVEN FELLOW DEMOCRATS","NoMatch"
"HOUSE/CO06 COFFMAN OVER THE TOP","NoMatch"
"HOUSE/CO06 ROMANOFF BARBARA HALL","W39ixEQCXEM"
"HOUSE/CO06 ROMANOFF COLLEGE","rmlr26FickY"
"HOUSE/CO06 ROMANOFF EVERY HOUR EVERY DOLLAR","mwLZjTRBXEo"
"HOUSE/CO06 ROMANOFF IF","Jy47aTBw9Gk"
"HOUSE/CO06 ROMANOFF IF YOU SIT HERE","NoMatch"
"HOUSE/CO06 ROMANOFF KAREN","LDMWbJOiHvo"
"HOUSE/CO06 ROMANOFF PRETTY SIMPLE","FQLNaMyCi2k"
"HOUSE/CT05 ESTY CHOICE TO MAKE","1yeBv63YI6w"
"HOUSE/CT05 ESTY MR AND MRS BUONANNI","CMaC3mWRlNs"
"HOUSE/CT05 ESTY OUR MOM","3lrFgU5rN9A"
"HOUSE/CT05 ESTY PAID INTO IT","qkLhzINT_-s"
"HOUSE/CT05 ESTY PRO DEATH","xNw5Vr8Zdtk"
"HOUSE/CT05 ESTY TOM CAMPBELL","NS95W2kzaEE"
"HOUSE/CT05 ESTY WAR NEVER LEAVES YOU","stXe38U3jis"
"HOUSE/CT05 GREENBERG BARKING","qtqaUQ_pApc"
"HOUSE/CT05 GREENBERG DISTURBING PATTERN","pouf82rk0U4"
"HOUSE/CT05 GREENBERG FAILURE","q-Lb0Y1qUJ0"
"HOUSE/CT05 GREENBERG THERE THEY GO AGAIN","KWGf5zsDJZM"
"HOUSE/FL02 FLDP&GRAHAM NORTH FLORIDA WAY","gq7u-VNuiCc"
"HOUSE/FL02 GRAHAM ANOTHER WEEK","NoMatch"
"HOUSE/FL02 GRAHAM BELIEVE ME","Lax9m-6SYc4"
"HOUSE/FL02 GRAHAM DISHONESTY","2kiEoJk3oHU"
"HOUSE/FL02 GRAHAM IMPORTANT","Wbszxf7W2lw"
"HOUSE/FL02 GRAHAM NEGATIVE ADS SO FALSE","Q8sG3nupAss"
"HOUSE/FL02 GRAHAM ONE THING","_uK4pQfQoAI"
"HOUSE/FL02 GRAHAM PROBLEM SOLVER","NoMatch"
"HOUSE/FL02 GRAHAM PROBLEM SOLVER REV","NoMatch"
"HOUSE/FL02 GRAHAM TROUBLING","zMDmleXO0yc"
"HOUSE/FL02 NRCC&SOUTHERLAND PROVEN JOB CREATOR","NoChannel"
"HOUSE/FL02 SOUTHERLAND AMERICA IS NOT SECURE","NoChannel"
"HOUSE/FL02 SOUTHERLAND ELECTIONS MATTER","NoChannel"
"HOUSE/FL02 SOUTHERLAND ERICA PRICE","NoChannel"
"HOUSE/FL02 SOUTHERLAND FIRST OBLIGATION OF GOVERNMENT","NoChannel"
"HOUSE/FL02 SOUTHERLAND HANDPICKED","NoChannel"
"HOUSE/FL02 SOUTHERLAND KELLY STIVERS","NoChannel"
"HOUSE/FL02 SOUTHERLAND LEADERSHIP WE CAN TRUST","NoChannel"
"HOUSE/FL02 SOUTHERLAND LUKE MURPHY","NoChannel"
"HOUSE/FL09 GRAYSON AMERICAN FLAGS","cT76BX83cr8"
"HOUSE/FL13 JOLLY OBAMACARE REV","NoMatch"
"HOUSE/FL13 JOLLY PERSONAL","f1bBJOnnCcE"
"HOUSE/FL13 JOLLY THE DIFFERENCE","JIP30gkdiRE"
"HOUSE/FL13 JOLLY WHERE I STAND","LBEWQBIZTL4"
"HOUSE/FL13 SINK OUT OF STEP","NoChannel"
"HOUSE/FL13 SINK RECORD","NoChannel"
"HOUSE/FL13 SINK RECORD REV","NoChannel"
"HOUSE/FL13 SINK SICK AND TIRED","NoChannel"
"HOUSE/FL13 SINK SOLUTIONS","NoChannel"
"HOUSE/FL13 SINK WORKING TOGETHER","NoChannel"
"HOUSE/FL16 BUCHANAN HIS STORY 60","NoMatch"
"HOUSE/FL18 DOMINO ACTION HERO","NoChannel"
"HOUSE/FL18 DOMINO ALL ABOARD FLORIDA","NoChannel"
"HOUSE/FL18 DOMINO GOVERNMENT HEALTHCARE TAKEOVER","NoChannel"
"HOUSE/FL18 DOMINO LIKE HIS FATHER","NoChannel"
"HOUSE/FL18 DOMINO MURPHY BRAGS","NoChannel"
"HOUSE/FL18 DOMINO RUNNING AWAY","NoChannel"
"HOUSE/FL18 MURPHY AGILIS","NoMatch"
"HOUSE/FL18 MURPHY FLORIDA'S WATERS","2jqSd3_X4Vo"
"HOUSE/FL18 MURPHY HAVEN'T STOPPED MOVING","05dXNSz7e3o"
"HOUSE/FL18 MURPHY INDIAN RIVER LAGOON","kWgycVI_uTA"
"HOUSE/FL18 MURPHY MY DAD","NoMatch"
"HOUSE/FL18 MURPHY MY HOME","51sJkNhJTqE"
"HOUSE/FL18 MURPHY NUMBERS","ng0Lji1w8nM"
"HOUSE/FL18 MURPHY NUMBERS ARE MY THING","pPbvBFxlTOI"
"HOUSE/FL18 MURPHY RARE","KJOcgSL6EE4"
"HOUSE/FL18 MURPHY REALLY DELIVERS","fx6nkBCCsXI"
"HOUSE/FL18 MURPHY UNIQUE CHARACTER","hdDcnIMXPyY"
"HOUSE/FL18 MURPHY WE'RE ALL SUPPORTING PATRICK MURPHY","SdODyl-tFE0"
"HOUSE/FL19 CLAWSON BASKETBALL","ykJmlU1vsTg"
"HOUSE/FL19 FREEMAN GOOD MORNING 15","NoChannel"
"HOUSE/FL19 FREEMAN GOOD MORNING 15 REV","NoChannel"
"HOUSE/FL19 FREEMAN RUNNING FOR CONGRESS 15","NoChannel"
"HOUSE/FL19 FREEMAN RUNNING FOR CONGRESS 15 REV","NoChannel"
"HOUSE/FL22 FRANKEL SAID TWO YEARS AGO","xr2PwjeQS2Y"
"HOUSE/FL26 CURBELO MONEY AND CORRUPTION","RkG9NE9p7ok"
"HOUSE/FL26 CURBELO SEE THIS","NoMatch"
"HOUSE/FL26 GARCIA SOUTH FLORIDIANS","yWqbtfMM7-8"
"HOUSE/FL26 GARCIA TWO FACED CORPORATE LOBBYIST","tW-mErPLRX4"
"HOUSE/GA01 CARTER FAITH FAMILY FREEDOM","NoChannel"
"HOUSE/GA01 JOHNSON CARTER SHOULD BE ASHAMED","NoChannel"
"HOUSE/GA01 JOHNSON PROFESSIONAL POLITICIAN","NoChannel"
"HOUSE/GA12 ALLEN BARROWS ATTACKS","rwGuXQak7x0"
"HOUSE/GA12 ALLEN CAUGHT LYING","Eb7BIIowx5E"
"HOUSE/GA12 ALLEN LIE OF THE YEAR","zBSOMhEjur4"
"HOUSE/GA12 ALLEN MESS","Q3Xj6OAJ4Mc"
"HOUSE/GA12 ALLEN SHAMEFUL ATTACK ADS","AM609j8lb8A"
"HOUSE/GA12 ALLEN WANTS OUR TRUST AGAIN","79j1jxny4SY"
"HOUSE/GA12 ALLEN WORST POLITICIANS","3-Pm6QQAAss"
"HOUSE/GA12 BARROW 85 PERCENT OF THE TIME","bL0gdqIUfkg"
"HOUSE/GA12 BARROW BEFORE THE VA SCANDAL","dGSNM7v-RYw"
"HOUSE/GA12 BARROW ENERGY INDEPENDENT","ARHyWdHI2ZA"
"HOUSE/GA12 BARROW GET A DOG","9pcHZ0Gx4K0"
"HOUSE/GA12 BARROW GET ANYTHING DONE","BKvzvEegbLQ"
"HOUSE/GA12 BARROW JOHNNY CROSBY","4sd71cvmtao"
"HOUSE/GA12 BARROW PORT OF SAVANNAH","ogaGZpdvBCg"
"HOUSE/GA12 BARROW SHOW YOU","TzRAoILd5QA"
"HOUSE/GA12 BARROW THE TRUTH ON IMMIGRATION","NoMatch"
"HOUSE/GA12 BARROW WASHINGTON DEMOCRATS","l5qAu2fJiRo"
"HOUSE/GA12 BARROW YOU WORK HARD","NoMatch"
"HOUSE/GA12 NRCC MESS","NoChannel"
"HOUSE/HI01 DCCC&TAKAI CHAMPION FOR OUR FAMILIES","cPY7H8GRXw0"
"HOUSE/HI01 DCCC&TAKAI OUR VALUES","aiQ7y167qRM"
"HOUSE/HI01 DJOU CARING AND COURAGEOUS","NoChannel"
"HOUSE/HI01 DJOU CONTENT","NoChannel"
"HOUSE/HI01 DJOU FRUSTRATED WITH THE GRIDLOCK","NoChannel"
"HOUSE/HI01 DJOU KEEP IT CLEAN","NoChannel"
"HOUSE/HI01 DJOU MOST IMPORTANT TITLE 15","NoChannel"
"HOUSE/HI01 DJOU RISING COST","NoChannel"
"HOUSE/HI01 DJOU THE FACES OF HAWAII","NoChannel"
"HOUSE/HI01 TAKAI DAY AT THE BEACH","DvPFNVhQYbM"
"HOUSE/HI01 TAKAI FROM FDR TO LBJ","wquw_0GPJxo"
"HOUSE/HI01 TAKAI MY OPPONENT","42rYcIO5emA"
"HOUSE/HI01 TAKAI SWAM","TeBbu_aKYeE"
"HOUSE/HI01 TAKAI TAMMY DUCKWORTH","QWtWl8zLZeE"
"HOUSE/IA01 BLUM ANGRY CAREER POLITICIAN","NoMatch"
"HOUSE/IA01 BLUM GREW UP","wyU9U-BSCPY"
"HOUSE/IA01 BLUM JANET","2zMou4-aXFo"
"HOUSE/IA01 BLUM MALCOLM STEWART","ikq1ODpxLn8"
"HOUSE/IA01 BLUM TEAMWORK","NoMatch"
"HOUSE/IA01 BLUM WE KNOW PAT MURPHY","NoMatch"
"HOUSE/IA01 DCCC&MURPHY CUT TO THE CHASE","snMjJO1DSeY"
"HOUSE/IA01 MURPHY 268 MILLIONAIRES","Rnmh2--XxWw"
"HOUSE/IA01 MURPHY BLACK AND WHITE","erYoIWh-toE"
"HOUSE/IA01 MURPHY FIRST ONES IN","NoMatch"
"HOUSE/IA01 MURPHY SHARON","VmSkhHHihDI"
"HOUSE/IA01 NRCC&BLUM CHUCK GRASSLEY","u4Br_xWqNiE"
"HOUSE/IA02 DCCC&LOEBSACK OUTSOURCING","sPlNlna0Xeo"
"HOUSE/IA02 LOEBSACK DEPENDS ON MEDICARE","ktNqfjNegUY"
"HOUSE/IA02 LOEBSACK SEE THE SIGNS","NoMatch"
"HOUSE/IA02 LOEBSACK THESE DOORS","Uz2D_oQH4U0"
"HOUSE/IA02 MILLER-MEEKS LOEBSACK VOTED FOR OBAMACARE","CDbuGrKOpXw"
"HOUSE/IA02 MILLER-MEEKS MARTY FORD","nCNxKdW3ZPo"
"HOUSE/IA02 MILLER-MEEKS PROMISED","QTRzC1ADFgs"
"HOUSE/IA03 APPEL DISTORTING MY RECORD","-t1KUdQ59vU"
"HOUSE/IA03 APPEL HARD WORK AND DETERMINATION","7pskhoYUWaY"
"HOUSE/IA03 APPEL IOWA INDEPENDENCE","COG1eM-U7HQ"
"HOUSE/IA03 APPEL LIKE ALL PARENTS","U8E6_o2JG1c"
"HOUSE/IA03 APPEL MESS IN WASHINGTON","kOyPsxUdXp8"
"HOUSE/IA03 APPEL NO SUPRISE","xmD6gahv2KA"
"HOUSE/IA03 APPEL POSING IN AN IOWA DINER","e8W3jCkVsXA"
"HOUSE/IA03 APPEL SIX CHILDREN","W2d9tXpt2ic"
"HOUSE/IA03 APPEL WASHINGTON INSIDER","NoMatch"
"HOUSE/IA03 NRCC&YOUNG APPEL VOTED AGAINST","NoChannel"
"HOUSE/IA03 YOUNG GOOD MEAL AND GOOD GOVERNMENT","NoChannel"
"HOUSE/IA03 YOUNG OBAMA MAKE NO MISTAKE","NoChannel"
"HOUSE/IA03 YOUNG THESE TWO","NoChannel"
"HOUSE/IA03 YOUNG WHERE I'M FROM","NoChannel"
"HOUSE/IA03 YOUNG YOUR OWN HEALTHCARE","NoChannel"
"HOUSE/IA04 KING GREW UP","okLR3JXse_I"
"HOUSE/IA04 KING ONLY GOOD THING LEFT","NxZRQbknP3g"
"HOUSE/IA04 KING TELL IT LIKE IT IS","4Vm46ipn0KU"
"HOUSE/IA04 MOWRER CHOICES","NoChannel"
"HOUSE/IA04 MOWRER CHOICES REV","NoChannel"
"HOUSE/IA04 MOWRER GOOD THING","NoChannel"
"HOUSE/IA04 MOWRER GREW UP ON A FARM","NoChannel"
"HOUSE/IA04 MOWRER GROWING UP","NoChannel"
"HOUSE/IA04 MOWRER WAR ZONE","NoChannel"
"HOUSE/ID02 SIMPSON MITT ROMNEY","I7JKVHu1pO4"
"HOUSE/ID02 STALLINGS IMMIGRATION REFORM 15","NoMatch"
"HOUSE/ID02 STALLINGS MINIMUM WAGE 15","NoMatch"
"HOUSE/ID02 STALLINGS WORKING WOMEN  15","NoMatch"
"HOUSE/ID02 STALLINGS WORST CONGRESS 15","NoMatch"
"HOUSE/IL08 DUCKWORTH GO SLOW","T5mBaMD4XH0"
"HOUSE/IL10 DCCC&SCHNEIDER DECISIONS","NoMatch"
"HOUSE/IL10 DCCC&SCHNEIDER END THE MEDICARE GUARANTEE","RUaj__lXlEs"
"HOUSE/IL10 DCCC&SCHNEIDER THE FACTS","NoMatch"
"HOUSE/IL10 DCCC&SCHNEIDER TRY THIS AGAIN","rFXuYFyGs_Q"
"HOUSE/IL10 DOLD DIRTY CAMPAIGN","Ovk5oQlU6UI"
"HOUSE/IL10 DOLD KRISTIE DOLD-BENNET","NoMatch"
"HOUSE/IL10 DOLD MARK KIRK","_Av3LQ0yYvE"
"HOUSE/IL10 SCHNEIDER&DCCC ICE CREAM","NEZolqDe-fI"
"HOUSE/IL10 SCHNEIDER TIRED OF POLITICAL ADS","PKEvBCcGsiE"
"HOUSE/IL11 FOSTER AS A KID","sHXVFcUFNSQ"
"HOUSE/IL12 BOST&NRCC CHICAGO POLITICIANS","NoChannel"
"HOUSE/IL12 BOST BARACK OBAMA'S RECORD","NoChannel"
"HOUSE/IL12 BOST CHICAGO POLITICIANS","NoChannel"
"HOUSE/IL12 BOST LEARNED A LOT FROM CHICAGO POLITICIANS","NoChannel"
"HOUSE/IL12 BOST TRACY BOST","NoChannel"
"HOUSE/IL12 DCCC&ENYART 20 YEAR SPRINGFIELD POLITICIAN","NoMatch"
"HOUSE/IL12 DCCC&ENYART 20 YEARS","NoMatch"
"HOUSE/IL12 DCCC&ENYART DIME","NoMatch"
"HOUSE/IL12 ENYART LEAD","O_KjiGAJoBw"
"HOUSE/IL12 ENYART LOOKING OUT FOR OUR MIDDLE CLASS","hIG-9lj9jqk"
"HOUSE/IL12 ENYART SPRINGFIELD POLITICIAN MIKE BOST","xGEaf-yybS4"
"HOUSE/IL12 ENYART THE MISSISSIPPI","NoMatch"
"HOUSE/IL12 ENYART THIS IS THE PROBLEM","4ufAJe2qWE4"
"HOUSE/IL13 CALLIS AS A MOM AND A JUDGE","TGmqy0DC2Mc"
"HOUSE/IL13 CALLIS BACK HOME AND ALIVE","lft6hp6lKjw"
"HOUSE/IL13 CALLIS DAVIS WILL TELL YOU","H4I8napsVcA"
"HOUSE/IL13 CALLIS DO WHAT'S RIGHT","f2HRHC_b59Y"
"HOUSE/IL13 CALLIS GOOD GUYS","FidGQBg9Z0A"
"HOUSE/IL13 CALLIS STEAK","opQZitcCrtU"
"HOUSE/IL13 DAVIS DISHONEST CAMPAIGN","4OCbOxbZZVI"
"HOUSE/IL13 DAVIS FRUSTRATED","0l5HlzmS7bk"
"HOUSE/IL13 DAVIS HARRISON BELER","Jqw7rIKkVSI"
"HOUSE/IL13 DAVIS HOUSING DILEMMA","NoMatch"
"HOUSE/IL13 DAVIS PART OF A TEAM","4Vdho_fn2X4"
"HOUSE/IL13 DAVIS TORYN DAVIS","YG6MVVJvFMI"
"HOUSE/IL13 DAVIS WASHINGTON ALLIES","PkStRnZNgTE"
"HOUSE/IL13 DAVIS WHAT KIND OF JUDGE","NoMatch"
"HOUSE/IL17 BUSTOS DISHONEST AND SHAMEFULLY MISLEADING","MbVXnKT0AGI"
"HOUSE/IL17 BUSTOS GERRY","OxqfDuokxyg"
"HOUSE/IL17 BUSTOS HONOR GUARD","K2bC-guFzHM"
"HOUSE/IL17 BUSTOS SOME PEOPLE SEE","LArYhQCwa-Q"
"HOUSE/IL17 BUSTOS THEY WORKED HARD","NoMatch"
"HOUSE/IL17 BUSTOS TOM GAULRAPP","NoMatch"
"HOUSE/IL17 BUSTOS WASHINGTON RIGS THE GAME","V0GOI2HygaE"
"HOUSE/IL17 BUSTOS WILLIAM THOMAS AND KATE DELANEY","YcW1B1GmNYg"
"HOUSE/IL17 SCHILLING ACCOUNTABLE","_b3kW-vRjAg"
"HOUSE/IL17 SCHILLING ERIC TURNER","vjW1YVT8W2A"
"HOUSE/IL17 SCHILLING MOTORCYCLE","Iq2F_45zDmI"
"HOUSE/IL17 SCHILLING RISKED OUR LIVES","Hek_A6fYtj0"
"HOUSE/IL17 SCHILLING VOICEMAIL","_Jq0SCOFzt4"
"HOUSE/IN02 BOCK BEEN AROUND THE WORLD","NoChannel"
"HOUSE/IN02 BOCK DELIVER AID","NoChannel"
"HOUSE/IN02 BOCK OLD POLITICAL TRICK","NoChannel"
"HOUSE/IN02 BOCK RUN TOWARD THE FIRE","NoChannel"
"HOUSE/IN02 WALORSKI EVERY 9 SECONDS","2FeMvVZfVQI"
"HOUSE/IN02 WALORSKI GROWING SCANDAL","VSkIhSS0B4U"
"HOUSE/IN02 WALORSKI LISA WILKEN","c8W85wUhZPs"
"HOUSE/IN02 WALORSKI MARTHA","fDzhbAlQM3w"
"HOUSE/IN02 WALORSKI MEET JOE BOCK","NoMatch"
"HOUSE/IN02 WALORSKI PROMISED","e8j9xjFsuzw"
"HOUSE/IN02 WALORSKI PROPANE CRISIS","NoMatch"
"HOUSE/IN02 WALORSKI PROVEN RECORD","NoMatch"
"HOUSE/IN02 WALORSKI WORK ACROSS THE AISLE","zG7M1qmphgk"
"HOUSE/IN08 BUCSHON NOT A POLITICIAN","rYjSLvWiiuY"
"HOUSE/KS02 JENKINS 1 IN 5 AMERICANS","3Uw21yz86X0"
"HOUSE/KS02 JENKINS EVERY 9 SECONDS","WkvX1oJ8lU4"
"HOUSE/KS02 JENKINS MY WHOLE LIFE","RyUMxk6-D2E"
"HOUSE/KS02 JENKINS REMEMBER THIS","NoMatch"
"HOUSE/KS02 JENKINS TELL A LOT","NoMatch"
"HOUSE/KS03 KULTALA SKINNY DIPPING","NoChannel"
